SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
1,SOVLGJY12A8C13FBED,223563,Call of the Mastodon,ARMQHX71187B9890D3,,Atlanta GA,,Mastodon,0,280.21506,5,0.555,173.205,5,0.12,Deep Sea Creature,2001
2,SOVLGJY12A8C13FBED,223563,Call of the Mastodon,ARMQHX71187B9890D3,,Atlanta GA,,Mastodon,0,280.21506,5,0.555,173.205,5,0.12,Deep Sea Creature,2001
3,SOGDQZK12A8C13F37C,221677,Adelante,AR2PT4M1187FB55B1A,,,,Los Chichos,0,191.68608,0,0.501,150.955,4,0.6,No Quieras Marcharte,1984
4,SODMVJR12A6D4F985D,47304,Ill Na Na,ARDI88R1187B98DAB2,,,,Foxy Brown,0,222.92853,1,0.329,93.056,4,1,If I...,0
5,SOIWBDR12A8C13A4AC,295123,Massenet: Werther,ARUKJUP12086C14589,,,,Ramí_n Vargas;Vladimir Jurowski,0,278.38649,7,0.313,127.113,1,0.446,Werther - Lyric Drama in four Acts/Act I/Alors_ cest bien ici la maison du bailli?,0
6,SOHCCIA12AC907577F,785362,Pentagrammaton,ARZEWUR1187FB53DC8,50.45663,Belgica -- Namur Namur/Ghent East Flanders,4.87137,Enthroned,0,89.15546,2,0,90.66,3,0.524,Ad Te Clamamus Exsvles Mortva Liberi,2010
7,SOBOAQC12A8C13E3E9,310248,BTNHRESURRECTION,ARUZRFN1187B98AC05,,Cleveland OH,,Bone Thugs-N-Harmony,0,255.73832,9,0.556,101.167,1,1,Murder One,2000
8,SOKVLHX12AB0187B39,576541,Utopia,ARHBWOZ1187FB3FD53,,ITALY,,Utopia,0,239.59465,2,0.167,173.841,3,0.302,On My Feet Again,0
9,SOMMSMW12A8C13FCCC,521383,Plug In Baby,ARR3ONV1187B9A2F59,54.31407,UK,-2.23001,Muse,0,156.96934,4,0.772,127.547,1,0.168,Bedroom Acoustics,0
10,SODPNJR12A6D4FA52D,55934,Joao Voz E Violato,AR3THYK1187B999F1F,,,,Joí£o Gilberto,0,197.19791,4,0.665,127.782,4,0.226,Segredo,2000
11,SOFFLLP12AB018ED52,722229,The Lost Souls Bonus EP,ARFELOH1187B991F95,,,,Niraj Chag,0,262.5824,9,0.317,90.013,5,0.386,Sajana (Ft Faheem Mazhar),0
12,SOZSPTD12A8C143BFD,478222,Distance,ARO0EUG1187B9AC250,,,,Portable,0,362.60526,10,0.505,116.005,4,1,Theresa,2003
13,SOHWWOM12AB0186627,546441,Welcome to my World,AR6CLFP1187B9ACB94,,Sacramento CA,,Daniel Johnston,0,311.53587,0,0.669,106.742,4,0.431,Story Of An Artist (Dont Be Scared),0
14,SOZVLXO12AF72ABCDB,661309,Live At Tonic,AR6WICD1187B998708,39.95227,Philadelphia PA,-75.16237,Christian McBride,0,692.06159,0,0.68,121.201,4,0.912,D Shuffle Jam (Part 2),0
15,SOVBVJW12AAF3B5F77,324015,Intermobility,ARMFOCL119B8668919,,,,String Trio Of New York,0,392.4371,9,0.594,130.316,5,1,Ju Ju,0
16,SOINHKC12AB01836E0,460926,Garden Of Joy,AR3GYKU1187B996AB9,41.05182,Stamford CT,-73.54223,Jim Kweskin,0,208.90077,10,0.561,160.981,4,0.149,When I Was A Cowboy (Western Plains) (LP Version),0
17,SODKUVJ12AB0187A4A,681735,Blown Away,ARDOOH01187B991055,,,,Ultraviolence,0,367.41179,1,0.343,174.57,4,0.315,I Destructor (Lenny Dee Mix),0
18,SOMJNMD12AB0187F93,675629,Maximum Speed,ARVUAJC1187B9908A5,,Speedball,,Speedball,0,212.21832,5,0.285,159.702,1,0,No Survivors,1998
19,SOZNBMX12AB0182AD1,549533,Dí_mmerElbenTragí_die,ARM63WJ1187B9951EA,,,,Autumnblaze,0,286.24934,9,0.509,119.428,4,0.695,Her Golden Robe In Silence Veiled,1999
20,SOIRIWN12AB0183AE7,668413,Original Album Classics,ARBQPXY1187B98D67B,25.89958,Brownsville TX,-97.49553,Kris Kristofferson,0,194.37669,2,0.582,74.809,4,0,Same Old Song,1974
21,SOESNFW12A6D4F995F,46067,House Full Of No Trust,ARPVFV91187B98BB94,,,,Cinder,0,218.61832,6,0.518,157.909,4,0.686,The Ride (Album),2006
22,SOGNFKZ12A8C145224,376512,Complete / Intí©grale Vol. 5 (1953-1957),AR6TD9K1187B9A207D,35.00459,Cotton Plant AR,-91.25019,Sister Rosetta Tharpe,0,156.42077,5,0.132,89.995,5,1,Two Little Fishes_ Five Loaves Of Bread,0
23,SOSJVGP12AB0185B95,591025,El Mas Chingon,ARYF20K1187B9B76BD,,ORANGE California,,George Lopez,0,270.68036,9,0.022,101.455,1,0,Church Hangover,2006
24,SOHHGUG12A6D4F4E77,785786,The Legend,ARH861H1187B9B799E,,Kingsland AR,,Johnny Cash,0,112.95302,4,0.086,118.041,4,0.945,I Got Stripes (Live),2006
25,SOBIPBF12AB0184B0C,709759,Unwant,ARHWRBR119B8669309,,,,Hatesex,0,307.87873,0,0.737,180.129,3,1,The Greed Of Our Stare,0
26,SONUTGA12AB0187F44,713491,Praying Mantis,ARE17W51187FB5381B,51.50632,London,-0.12714,Rui Da Silva,0,448.62649,1,0.399,123.007,4,0.045,The Contracting Perception Of Consciousness,0
27,SOIGIUZ12A8C1337B1,246546,Tim Exiles Nuisance Gabbaret Lounge,AR8U8G41187B9A833B,,,,Tim Exile,0,80.3522,0,0.644,141.836,4,0.697,Post-Toxic Finger Disorder,2006
28,SORRQLD12A8C139E8D,299377,36 Grands SuccíÂs,ARQVTCN11E2835DFFD,,,,Marcel Mouloudji,0,110.34077,0,0.364,77.5,5,0.432,Qui Donc A Changí© ?,0
29,SOHHKOU12A81C224B2,232875,Gathering The Tribe,AR8W2DS1187B9B6E36,,,,Alex Theory,0,317.88363,9,0.728,100.295,4,0.678,Lotus Kiss,0
30,SOWUAYB12A6D4FA1D4,64429,Joy in the Journey,ARHO1WI1187B98CB84,,,,Michael Card,0,163.082,9,0.298,122.403,4,1,So Many Books ... (The Word Album Version),0
31,SOYTQGO12A8C138C1B,202993,Transformation,ARYUHNV1187FB482AF,,,,Megadrums,0,237.24363,11,0.001,118.713,4,0,Drummers Circle,0
32,SOOOBCE12A8C134019,286522,Welcome Home / The Okeh Years,AROBQ0B1187FB404F6,30.42084,Pensacola FL,-87.21724,Walter Jackson,0,156.682,5,0.714,78.453,3,0.858,What Would You Do,2006
33,SOROLCY12AB0182652,346713,Double R,ARYNSN31187FB4C573,39.96196,Columbus OH,-83.00298,Bizzy Bone Presents,0,50.9122,4,0.222,81.901,4,0,Intro,2004
34,SOWBEBK12AB018306A,792118,Les 100 Plus Grands Titres Country,ARE9SYU1187B9B9838,29.18752,OCALA Florida,-82.14039,Jerry Reed,0,138.4224,9,0.609,201.951,4,0.286,When Youre Hot_ Youre Hot,0
35,SOLIAYU12A6D4F9923,74803,Justin In Love With HK Philharmonic Concert Live,ARZCXO91187FB53708,32.67828,Georgia,-83.22295,Justin,0,275.85261,1,0.716,81.38,4,0.677,Kong,0
36,SOOBRTK12A8C13D6A9,250057,Play It For A Long Time,ARPEJMN11F4C84080E,38.00335,Virginia,-79.77127,New Roanoke Jug Band,0,178.20689,0,0.73,96.212,1,0,When Those Two Towers Fell,0
37,SONROBV12AB0188BC7,769742,Its Not The Same,ARJJRZ41187FB4C856,,,,Floor,0,144.92689,4,0.597,144.803,4,0,Ignis,2009
38,SOLWBGS12AB0187EAD,675210,Close Up,ARELA4P1187B991507,31.1689,Texas,-100.07715,Charles Williams,0,64.05179,5,0.331,102.95,5,0.269,Close Up,0
39,SOOCWAO12AB01852C1,759910,The Animals with Sonny Boy Williamson,AR1VWD91187FB4CE99,54.97791,Newcastle,-1.61237,The Animals_ Sonny Boy Williamson,0,463.49016,10,0.124,81.111,3,1,Bo Diddley,1973
40,SOJDJRK12AB018565D,645658,Live In Lulea,ARUYVDC12086C11D5C,,Stockholm,,Fever Ray,0,280.24118,0,0,64.811,4,0.24,Im Not Done,2009
41,SOYNXWG12AC468F51A,782449,Tiqui_ Tiqui,ARUT60Q1187B9B90E9,,,,Orquesta Broadway,0,226.66404,9,0.046,95.243,4,0.377,La Sitiera,0
42,SOQYKBE12AC46867EE,686635,Bobby Sox Blues - EP,AR8Q4RZ1187FB46BDC,33.01158,Linden TX,-94.365,T-Bone Walker,0,123.29751,8,0.003,162.855,4,0.477,Teenage Baby (Digitally Remastered),0
43,SOHWKQE12A8C142406,609306,Something in Your Eyes,ARMBR4Y1187B9990EB,37.77916,California - SF,-122.42005,David Martin,0,286.4322,4,0.505,133.925,4,0,It Must Be,0
44,SOUYTJK12A6701CD3D,10168,Neighborhood Watch,AR0CANF1187B9AF35F,34.05349,Los Angeles California,-118.24532,Dilated Peoples,0,149.91628,11,0.452,165.546,3,0.6,Big Business,2004
45,SOYVONC12AB0187167,578327,Reach,ARDDTL91187B9974A7,,,,Warren Barfield,0,207.51628,11,0.574,117.985,4,0.746,Shadow,2006
46,SOQYLQN12AB01801B8,627032,Speed 002,ARZJFLE12086C117FF,,,,MN,0,378.06975,11,0,136.95,3,0,The Truth,0
47,SOCXXWR12AC468929B,686979,Bob Wills and His Texas Playboys 1932-1947,AR9OLFX1187B9A5762,31.30757,Kosse TX,-96.63166,Bob Wills,0,201.76934,7,1,95.655,1,0.053,Sittin On Top of the Wolrd,0
48,SOHLKRL12A8C141B63,475792,Flame In My Heart,ARYPRAG11F50C48C62,,,,Checkers,0,135.70567,1,0.744,135.048,4,0.782,Oh Oh Oh Baby,0
49,SOAZTBX12AC4689A69,747108,Discografí_a Completa Volumen 14,ARYN8YT1187FB38396,,,,Los Iracundos,0,259.23873,2,0.788,92.785,4,0.983,Adios...Borron Y Cuenta Nueva,0
50,SOFEAJC12A58A7F3AA,521576,PADLOCK ON THE BLUES,ARJ9DSA1187B990E00,,,,John And The Bluesbreakers Mayall,0,304.8224,7,0.141,94.304,3,1,A Hard Road,1967
51,SORZPFY12A8C137448,150268,í_tnico Ma Non Troppo,ARVUQIC1187B9A7C66,,,,Hevia,0,261.32853,0,0.649,125.02,4,0.962,San Xuan,2003
52,SORRXOY12AB0183759,646375,Isnt That Just Like God (Studio Track),ARK6JC91187B9B4B2D,,United States,,Babbie Mason,0,236.2771,2,0.624,141.022,4,0.584,Isnt That Just Like God (Low Key Performance Track Without Background Vocals),0
53,SOADDVU12A8AE47512,280472,Les Risques du Mí©tier,AROGAPH1187B98CF9C,,,,Benabar,0,238.44526,4,0.455,88.018,5,0.412,Le Zoo De Vincennes,2003
54,SOJMOIF12A8C14397B,372926,Champion Jack Dupree Of New Orleans,AR8ACFK1187B9B4063,,New Orleans LA,,Champion Jack Dupree,0,200.80281,3,0.524,95.026,4,0.718,Christina Christina Blues,0
55,SOFPQSC12A58A7B165,407416,The Boat That Rocked,ARLDW2Y1187B9B544F,39.75911,Dayton OH,-84.19444,Tommy James & The Shondells,0,324.70159,11,1,167.841,4,0,Crimson And Clover,1969
56,SOPIDCK12AB018DAF8,678009,Moods,ARELA4P1187B991507,31.1689,Texas,-100.07715,Charles Williams,0,87.87546,0,0.671,74.666,1,0,Barrage,0
57,SOAPUWG12AB017DE50,540707,Wham Bam!! Bhangra Remixes,ARELFAE1187FB40D0A,,,,Bally Sagoo,0,373.39383,6,0.527,111.901,4,0.854,Mele Wich Ayee (Shaan Remix),0
58,SOMOINR12AB0189188,704552,My Secret Lover_ Jerry Yan,ARMAOIY1187B9A3893,,,,Jerry Yan,0,252.18567,11,0.571,117.892,4,1,XI GUAN LIANG GE REN,0
59,SOBAMRQ12A8C141DF3,566959,The Brand New Z.Z. Hill,ARRPCKN1187FB5BA2F,33.20271,Naples TX,-94.68121,Z.Z. Hill,0,333.322,10,0.385,73.545,3,0.342,Faithful and True (Collectors Version),1971
60,SODYMWS12A8C141577,120715,Grease Band & Amazing Grease,ARDGBFI1269FCD6AA6,,,,The Grease Band,0,325.25016,6,0.009,123.891,4,0.491,Laughed At The Judge,0
61,SOKNAQC12A58A7EE5C,645030,Original Album Classics,ARGEKDX1187FB3A5BF,40.65507,Brooklyn NY,-73.94888,Marcus Miller,0,52.00934,9,0.682,78.382,3,0.522,Outro Duction,2005
62,SOBHGWG12A6D4F50D2,32680,Blue All The Way,ARGXNS21187B999665,27.9758,Florida,-81.54106,Tina Britt,0,177.94567,3,0.69,118.835,1,0.201,He Put The Hurt On Me,2006
63,SOVZIXG12AC3DF5331,684294,The Best Of X-Static,ARFZNDU1187FB417FC,,,,X-Static,0,262.79138,1,0.131,98.645,5,0.927,Murderous Style,0
64,SOUGZYV12A8C143A6F,615142,Greatest Hits Vol. II,AR0NQD81187FB3AD13,32.74863,Fort Worth TX,-97.32925,Gary Morris,0,228.5971,7,0.752,81.809,4,0,Youre Welcome To Tonight (Duet w/ Lynn Anderson) (Album Version),0
65,SOHLFWF12A58A7989F,254082,Cabeí_a elí©trica coraí_í£o ací_stico,AR0B5HI1187B9B9DB9,,,,Silví©rio Pessoa,0,364.48608,4,0.64,95.997,3,1,Eu vi a maquina voadora,0
66,SORERTC12A8AE454B3,279573,Experience: Expanded (Remastered),AR4L4WQ1187FB51996,,Braintree Essex England,,The Prodigy,0,252.52526,6,0.478,215.916,5,1,Music Reach (1/2/3/4) (Remastered),0
67,SODMROC12A8C1443E7,610244,Karaoke: Country Queen - Singing to the Hits,ARKRQSV1187B99FB13,35.14968,Memphis TN,-90.04892,Deborah Allen,0,189.57016,6,0.755,67.904,4,0.655,I Will Always Love You,2005
68,SOBHRIK12A6D4F6E75,24732,Tomorrow,ARB3YS71187FB4E54E,,,,Tomorrow,0,173.26975,2,0.682,138.028,4,0,Colonel Brown (1999 Digital Remaster),0
69,SOCYTFB12AB017F7CE,349121,John Holts 21 Miles From You,ARJPZSG1187FB3E985,18.01571,Kingston Jamaica,-76.79731,John Holt,0,170.50077,8,0.708,166.05,4,0.281,The Tide Is High - Original,0
70,SOVWNAS12A8C130573,283030,This Is Ty Herndon:  Greatest Hits,ART09111187FB5BF48,32.36503,Meridian MS,-88.70307,Ty Herndon;Stephanie Bentley,0,295.3922,10,0.782,74.166,5,0.785,Heart Half Empty,0
71,SOCSZYG12AB01871C2,373723,Shake A Hand,ARH4Z031187B9A71F2,40.73197,Newark NJ,-74.17418,Faye Adams,0,144.1171,3,0,110.323,3,1,My Greatest Desire,1961
72,SOATHUP12A8C131DC3,142667,Resurrection,ARDEC2A1187B9A460E,,Cleveland OH,,Chimaira,0,323.18649,7,0.631,150.11,4,0.852,The Flame,2007
73,SOESWTI12AB0184D39,808649,Lodio del mondo rese luomo schiavo dellamore,ARZBYDY1187FB46DD7,42.54843,Vernet les Bains,2.38596,Cali,0,222.17098,1,0.567,187.716,4,0,Sta giu (feat. Dj Rockdrive),0
74,SOSFVEI12A6D4F7C84,22067,The Master Musicians of Jajouka,AR0N0DX1187FB41327,51.50632,London England,-0.12714,The Master Musicians of Jajouka featuring Bachir Attar,0,623.72526,8,0.443,131.578,4,0.519,The Truth Forever,0
75,SONOQCH12A6D4FE0EE,578604,Eternity,ARMW8O71187B98CD90,,,,Angí©lla Christie,0,348.36853,5,0.497,111.465,4,0.521,Walk With Me,0
76,SOHPFNX12AB018A5FE,572666,Carry me Home - The Power Of Gospel,ARFCOGY1187FB454B4,,Detroit MI,,The Winans,0,319.60771,8,0.346,102.328,4,0.906,Everything You Touch Is a Song,0
77,SOJDTBL12AB0188BF6,559294,Solo in Rio 1959,ARQCHDN1187FB4C7C2,-22.97673,Rio de Janeiro Brazil,-43.19508,Luiz Bonfa,0,305.65832,4,0.576,105.813,4,0.141,A Brazilian in New York,0
78,SODKPPT12A8AE46A99,281000,Gift 2,AROIHOI122988FEB8E,,,,Mario Rosenstock,0,319.63383,10,0.111,79.09,3,0.674,De Tree Little Pigs,0
79,SOPNFTX12A67020455,30956,Californication,ARE8GLF1187FB52532,,,,Red Hot Chili Peppers,0,198.05995,4,0.455,76.986,3,0.92,Get On Top (Album Version),1999
80,SOIWZZD12A8C14505C,317615,Shogun,ARJBWQI1187B9B17D1,,Orlando FL,,Trivium,0,321.17506,4,0.597,100.604,4,0.448,Upon The Shores [Explicit],2008
